Year_;Month_;Organization;Region;Country;Type;Spend;Leads Eligible - Total;Offline Spend per Leads Methodology;Offline Spend Real
2024;1;Open English Junior;LATAM;Uruguay;SEM-Brand;$ 26;30;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Uruguay;SEO;$ 0;6;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Uruguay;Direct;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Uruguay;Agent Created;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Uruguay;Unknown;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;LATAM;Uruguay;TV Cable;$ 1,701;0;$ 1,701.03;$ 0.00
2024;1;Open English Junior;US_PR;United States;SEM-Brand;$ 3,928;160;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;SEO;$ 0;49;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;Direct;$ 0;12;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;Agent Created;$ 0;52;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;Unknown;$ 0;8;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;Desktop LP Login;$ 0;1;$ 0.00;$ 0.00
2024;1;Open English Junior;US_PR;United States;Mobile App;$ 0;1;$ 0.00;$ 0.00
2024;2;OE;Brazil;Brazil;SEM-Brand;$ 51,659;10,378;$ 0.00;$ 0.00
2024;2;OE;Brazil;Brazil;SEO;$ 0;4,019;$ 0.00;$ 0.00
2024;2;OE;Brazil;Brazil;Direct;$ 0;1,104;$ 0.00;$ 0.00
2024;2;OE;Brazil;Brazil;Agent Created;$ 0;171;$ 0.00;$ 0.00
2024;2;OE;Brazil;Brazil;Unknown;$ 5,274;376;$ 0.00;$ 0.00
